,precision,recall,f1-score,support
no_junction,0.9860791772919192,0.9883930442069977,0.9872347549491483,23865.0
turn_left,0.8829757592644191,0.885195530726257,0.8840842516390013,3580.0
turn_right,0.9063790729692519,0.8801247771836007,0.8930590097219082,2244.0
accuracy,0.9677658391997036,0.9677658391997036,0.9677658391997036,0.9677658391997036
macro avg,0.9251446698418634,0.9179044507056183,0.9214593387700193,29689.0
weighted avg,0.9676226017710692,0.9677658391997036,0.9676783814054031,29689.0
